Call Center;Group;Operator_name;Month;contacts_per_hour;csat_percent;fcr_percent;qc_score
КЦ 2;Группа 3;Operator_035;Месяц 2;11.1;52.3;81.9;87.0
КЦ 2;Группа 3;Operator_036;Месяц 2;12.4;74.7;76.1;98.6
КЦ 2;Группа 3;Operator_037;Месяц 2;7;75.6;83.3;68.0
КЦ 2;Группа 3;Operator_038;Месяц 2;11.8;58.3;75.1;98.2
КЦ 2;Группа 3;Operator_039;Месяц 2;13.1;64.2;80.3;79.9
КЦ 2;Группа 3;Operator_040;Месяц 2;11.5;71.7;84.8;83.4
КЦ 2;Группа 3;Operator_041;Месяц 2;11.1;64.7;83.7;85.1
КЦ 2;Группа 3;Operator_042;Месяц 2;12;59.1;84.9;69.1
КЦ 2;Группа 3;Operator_043;Месяц 2;10.5;78.4;77.1;72.4
КЦ 2;Группа 3;Operator_044;Месяц 2;13.6;77.7;82.9;86.9
КЦ 2;Группа 4;Operator_045;Месяц 2;12.9;53.7;81.9;89.5
КЦ 2;Группа 4;Operator_046;Месяц 2;11;80.0;81.7;74.4
КЦ 2;Группа 4;Operator_047;Месяц 2;10.8;75.7;78.3;89.3
КЦ 2;Группа 4;Operator_048;Месяц 2;10.2;62.4;76.9;77.7
КЦ 2;Группа 4;Operator_049;Месяц 2;12.2;66.5;80.5;68.3
КЦ 2;Группа 4;Operator_050;Месяц 2;12.9;61.5;84.2;82.8
КЦ 2;Группа 4;Operator_051;Месяц 2;14;54.5;80.4;77.1
КЦ 2;Группа 4;Operator_052;Месяц 2;11.3;61.6;81.6;93.7
КЦ 2;Группа 4;Operator_053;Месяц 2;7;54.6;79.7;98.9
КЦ 2;Группа 4;Operator_054;Месяц 2;12.3;68.9;84.2;99.9
КЦ 2;Группа 4;Operator_055;Месяц 2;7.8;65.9;80.7;92.7
КЦ 2;Группа 5;Operator_056;Месяц 2;10.7;70.3;76.6;80.5
КЦ 2;Группа 5;Operator_057;Месяц 2;14.7;58.9;84.8;88.0
КЦ 2;Группа 5;Operator_058;Месяц 2;9.9;68.6;81.8;90.2
КЦ 2;Группа 5;Operator_059;Месяц 2;14.2;54.0;80.4;99.0
КЦ 2;Группа 5;Operator_060;Месяц 2;14.3;75.8;82.2;99.3
КЦ 2;Группа 5;Operator_061;Месяц 2;7.4;57.0;75.3;95.9
КЦ 2;Группа 5;Operator_062;Месяц 2;9.4;76.6;76.4;80.9
КЦ 2;Группа 5;Operator_063;Месяц 2;11.9;63.3;84.5;94.9
КЦ 2;Группа 5;Operator_064;Месяц 2;12.7;50.6;82.9;73.5
КЦ 2;Группа 5;Operator_065;Месяц 2;14;53.9;77.5;71.1
КЦ 2;Группа 5;Operator_066;Месяц 2;9.6;65.4;76.1;82.6
КЦ 3;Группа 6;Operator_067;Месяц 2;6.7;52.2;75.8;86.3
КЦ 3;Группа 6;Operator_068;Месяц 2;13.7;73.1;82.2;72.5
КЦ 3;Группа 6;Operator_069;Месяц 2;7.8;52.8;76.0;90.9
КЦ 3;Группа 6;Operator_070;Месяц 2;8.3;60.5;80.8;72.4
КЦ 3;Группа 6;Operator_071;Месяц 2;12.2;50.8;84.3;94.0
КЦ 3;Группа 6;Operator_072;Месяц 2;11.2;56.5;79.2;76.9
КЦ 3;Группа 6;Operator_073;Месяц 2;9.2;58.2;82.5;69.0
КЦ 3;Группа 6;Operator_074;Месяц 2;11;59.8;75.1;91.1
КЦ 3;Группа 6;Operator_075;Месяц 2;8.7;67.2;82.1;79.6
КЦ 3;Группа 6;Operator_076;Месяц 2;12.2;59.3;78.4;76.7
КЦ 3;Группа 6;Operator_077;Месяц 2;8.7;72.8;81.6;71.2
КЦ 3;Группа 6;Operator_078;Месяц 2;12.9;63.3;78.0;74.6
КЦ 3;Группа 6;Operator_079;Месяц 2;12.2;73.8;84.0;80.7
КЦ 3;Группа 6;Operator_080;Месяц 2;13.1;63.1;79.4;83.3
КЦ 3;Группа 6;Operator_081;Месяц 2;9.1;69.7;84.1;95.6
КЦ 3;Группа 6;Operator_082;Месяц 2;8.4;70.1;83.3;90.9
КЦ 3;Группа 7;Operator_083;Месяц 2;6.7;75.3;76.0;92.0
КЦ 3;Группа 7;Operator_084;Месяц 2;14.2;62.3;81.8;73.3
КЦ 3;Группа 7;Operator_085;Месяц 2;9.6;58.5;78.8;83.5
КЦ 3;Группа 7;Operator_086;Месяц 2;12;58.2;84.1;70.2
КЦ 3;Группа 7;Operator_087;Месяц 2;10;75.2;81.5;92.7
КЦ 3;Группа 7;Operator_088;Месяц 2;7.1;65.8;76.1;75.1
КЦ 3;Группа 7;Operator_089;Месяц 2;14.5;68.4;77.4;79.6
КЦ 3;Группа 7;Operator_090;Месяц 2;7.9;50.5;82.9;77.1
КЦ 3;Группа 7;Operator_091;Месяц 2;14.1;74.3;75.6;92.2
КЦ 3;Группа 7;Operator_092;Месяц 2;10.7;73.4;83.7;76.6
КЦ 3;Группа 7;Operator_093;Месяц 2;11.2;52.4;81.0;93.8
КЦ 3;Группа 7;Operator_094;Месяц 2;6.9;58.2;84.8;98.2
КЦ 3;Группа 7;Operator_095;Месяц 2;11.9;61.5;80.7;86.2
КЦ 3;Группа 7;Operator_096;Месяц 2;10.3;66.9;77.6;74.1
КЦ 3;Группа 7;Operator_097;Месяц 2;10.9;59.6;78.5;67.3
КЦ 3;Группа 7;Operator_098;Месяц 2;9.6;66.6;78.7;93.1
КЦ 3;Группа 7;Operator_099;Месяц 2;10.4;70.4;78.4;95.7
КЦ 3;Группа 7;Operator_100;Месяц 2;7.2;78.2;83.9;94.6
КЦ 1;Группа 1;Operator_001;Месяц 3;9.4;50.9;77.2;82.7
КЦ 1;Группа 1;Operator_002;Месяц 3;10.6;60.1;75.9;68.4
КЦ 1;Группа 1;Operator_003;Месяц 3;14.8;51.4;77.3;75.1
КЦ 1;Группа 1;Operator_004;Месяц 3;13.8;71.9;76.6;78.3
КЦ 1;Группа 1;Operator_005;Месяц 3;13;59.4;81.6;78.8
КЦ 1;Группа 1;Operator_006;Месяц 3;13;51.4;76.1;87.0
КЦ 1;Группа 1;Operator_007;Месяц 3;11.5;69.2;76.1;80.2
КЦ 1;Группа 1;Operator_008;Месяц 3;12.5;66.2;82.8;83.6
КЦ 1;Группа 1;Operator_009;Месяц 3;11.5;72.8;82.7;69.5
КЦ 1;Группа 1;Operator_010;Месяц 3;11;65.5;76.2;72.9
КЦ 1;Группа 1;Operator_011;Месяц 3;11.3;54.0;84.4;85.0
КЦ 1;Группа 1;Operator_012;Месяц 3;6.9;60.2;83.6;73.7
КЦ 1;Группа 1;Operator_013;Месяц 3;14.9;77.8;83.5;70.8
КЦ 1;Группа 1;Operator_014;Месяц 3;12.6;71.6;76.5;75.4
КЦ 1;Группа 1;Operator_015;Месяц 3;9.3;70.3;77.4;69.2
КЦ 1;Группа 1;Operator_016;Месяц 3;14.6;59.0;78.2;91.3
КЦ 1;Группа 2;Operator_017;Месяц 3;11.3;71.1;81.1;99.6
КЦ 1;Группа 2;Operator_018;Месяц 3;8.6;56.1;81.3;74.2
КЦ 1;Группа 2;Operator_019;Месяц 3;8.4;50.3;75.8;95.9
КЦ 1;Группа 2;Operator_020;Месяц 3;9.5;53.1;82.8;95.9
КЦ 1;Группа 2;Operator_021;Месяц 3;9.7;75.9;83.1;74.3
КЦ 1;Группа 2;Operator_022;Месяц 3;8.9;75.9;84.7;74.8
КЦ 1;Группа 2;Operator_023;Месяц 3;7.3;59.4;81.1;82.9
КЦ 1;Группа 2;Operator_024;Месяц 3;10.8;59.9;78.1;94.7
КЦ 1;Группа 2;Operator_025;Месяц 3;7.3;66.4;75.0;75.0
КЦ 1;Группа 2;Operator_026;Месяц 3;14.8;60.1;83.2;91.3
КЦ 1;Группа 2;Operator_027;Месяц 3;7;57.3;81.6;65.2
КЦ 1;Группа 2;Operator_028;Месяц 3;13.5;79.6;81.0;98.3
КЦ 1;Группа 2;Operator_029;Месяц 3;14;65.6;81.3;74.6
КЦ 1;Группа 2;Operator_030;Месяц 3;7.9;56.2;79.2;96.7
КЦ 1;Группа 2;Operator_031;Месяц 3;15;68.1;77.2;72.7
КЦ 1;Группа 2;Operator_032;Месяц 3;13.4;69.3;76.4;81.2
КЦ 1;Группа 2;Operator_033;Месяц 3;10.8;60.5;81.5;92.3
КЦ 2;Группа 3;Operator_034;Месяц 3;10.3;68.2;82.5;69.0
КЦ 2;Группа 3;Operator_035;Месяц 3;14.6;73.2;83.5;86.0
КЦ 2;Группа 3;Operator_036;Месяц 3;6.9;74.9;82.1;80.2
КЦ 2;Группа 3;Operator_037;Месяц 3;6.7;57.3;79.6;86.4
КЦ 2;Группа 3;Operator_038;Месяц 3;11.1;71.6;79.9;91.5
КЦ 2;Группа 3;Operator_039;Месяц 3;10;59.9;82.0;74.5
КЦ 2;Группа 3;Operator_040;Месяц 3;9.2;53.0;76.9;73.0
КЦ 2;Группа 3;Operator_041;Месяц 3;11.4;63.2;76.8;66.8
КЦ 2;Группа 3;Operator_042;Месяц 3;12.7;68.2;82.9;72.9
КЦ 2;Группа 3;Operator_043;Месяц 3;9.8;54.7;76.7;67.6
КЦ 2;Группа 3;Operator_044;Месяц 3;14.5;78.0;79.3;84.1
КЦ 2;Группа 4;Operator_045;Месяц 3;13.7;65.0;79.9;67.8
КЦ 2;Группа 4;Operator_046;Месяц 3;13.3;72.7;79.7;87.8
КЦ 2;Группа 4;Operator_047;Месяц 3;14.5;78.4;83.1;84.3
КЦ 2;Группа 4;Operator_048;Месяц 3;13.4;68.8;82.6;72.1
КЦ 2;Группа 4;Operator_049;Месяц 3;6.8;77.4;79.6;69.1
КЦ 2;Группа 4;Operator_050;Месяц 3;9.7;75.9;77.8;92.7
КЦ 2;Группа 4;Operator_051;Месяц 3;7.1;66.3;79.6;76.3
КЦ 2;Группа 4;Operator_052;Месяц 3;9.7;64.9;75.4;82.6
КЦ 2;Группа 4;Operator_053;Месяц 3;14.4;70.8;81.5;94.8
КЦ 2;Группа 4;Operator_054;Месяц 3;10.7;63.0;76.0;87.2
КЦ 2;Группа 4;Operator_055;Месяц 3;10.5;52.4;83.7;86.7
КЦ 2;Группа 5;Operator_056;Месяц 3;6.9;67.6;81.4;79.9
КЦ 2;Группа 5;Operator_057;Месяц 3;12.4;67.0;81.9;91.1
КЦ 2;Группа 5;Operator_058;Месяц 3;7.3;75.2;81.3;96.6
КЦ 2;Группа 5;Operator_059;Месяц 3;8.7;77.4;83.3;74.0
КЦ 2;Группа 5;Operator_060;Месяц 3;11;74.1;78.7;92.7
КЦ 2;Группа 5;Operator_061;Месяц 3;10.8;77.5;77.2;67.2
КЦ 2;Группа 5;Operator_062;Месяц 3;10.7;72.3;84.5;79.7
КЦ 2;Группа 5;Operator_063;Месяц 3;9;70.6;80.4;99.2
КЦ 2;Группа 5;Operator_064;Месяц 3;13.6;66.9;75.7;91.8
КЦ 2;Группа 5;Operator_065;Месяц 3;8.9;50.8;75.1;92.6
КЦ 2;Группа 5;Operator_066;Месяц 3;14;51.3;82.8;95.3
КЦ 3;Группа 6;Operator_067;Месяц 3;8.6;58.3;81.3;84.2
КЦ 3;Группа 6;Operator_068;Месяц 3;10;56.9;78.4;80.9
КЦ 3;Группа 6;Operator_069;Месяц 3;7.7;66.7;80.9;84.7
КЦ 3;Группа 6;Operator_070;Месяц 3;14.3;56.7;76.1;94.6
КЦ 3;Группа 6;Operator_071;Месяц 3;12.7;55.4;82.0;75.8
КЦ 3;Группа 6;Operator_072;Месяц 3;10.1;71.6;82.8;84.9
КЦ 3;Группа 6;Operator_073;Месяц 3;14.3;58.5;81.8;82.0
КЦ 3;Группа 6;Operator_074;Месяц 3;11.5;61.4;82.0;82.5
КЦ 3;Группа 6;Operator_075;Месяц 3;8.4;50.6;78.2;93.0
КЦ 3;Группа 6;Operator_076;Месяц 3;7.8;65.3;76.1;82.8
КЦ 3;Группа 6;Operator_077;Месяц 3;8.5;64.8;82.5;91.6
КЦ 3;Группа 6;Operator_078;Месяц 3;9.7;65.2;78.1;80.8
КЦ 3;Группа 6;Operator_079;Месяц 3;11.8;69.6;78.2;81.6
КЦ 3;Группа 6;Operator_080;Месяц 3;12.6;61.2;77.8;79.3
КЦ 3;Группа 6;Operator_081;Месяц 3;8.6;67.5;76.4;77.2
КЦ 3;Группа 6;Operator_082;Месяц 3;14.9;65.8;81.5;79.8
КЦ 3;Группа 7;Operator_083;Месяц 3;10.6;76.5;75.4;76.8
КЦ 3;Группа 7;Operator_084;Месяц 3;6.8;58.5;82.5;80.7
КЦ 3;Группа 7;Operator_085;Месяц 3;8.9;74.5;83.0;69.8
КЦ 3;Группа 7;Operator_086;Месяц 3;13.6;78.4;77.2;80.8
КЦ 3;Группа 7;Operator_087;Месяц 3;6.8;58.6;83.3;89.4
КЦ 3;Группа 7;Operator_088;Месяц 3;12.9;51.4;79.2;92.8
КЦ 3;Группа 7;Operator_089;Месяц 3;14.1;52.6;84.7;67.4
КЦ 3;Группа 7;Operator_090;Месяц 3;13.1;68.8;82.7;90.7
КЦ 3;Группа 7;Operator_091;Месяц 3;9;58.8;75.4;72.0
КЦ 3;Группа 7;Operator_092;Месяц 3;8.6;61.0;83.9;91.0
КЦ 3;Группа 7;Operator_093;Месяц 3;7.6;59.6;75.8;88.1
КЦ 3;Группа 7;Operator_094;Месяц 3;13.9;69.1;78.6;93.0
КЦ 3;Группа 7;Operator_095;Месяц 3;11.1;78.5;78.7;91.7
КЦ 3;Группа 7;Operator_096;Месяц 3;9;79.9;77.9;97.1
КЦ 3;Группа 7;Operator_097;Месяц 3;11;76.7;83.5;89.9
КЦ 3;Группа 7;Operator_098;Месяц 3;7.2;68.4;75.9;75.8
КЦ 3;Группа 7;Operator_099;Месяц 3;8.2;69.2;76.8;98.8
КЦ 3;Группа 7;Operator_100;Месяц 3;6.8;69.1;80.5;69.4
КЦ 1;Группа 1;Operator_001;Месяц 4;13.8;56.0;81.5;84.1
КЦ 1;Группа 1;Operator_002;Месяц 4;10.2;68.1;83.1;90.5
КЦ 1;Группа 1;Operator_003;Месяц 4;11.3;57.0;76.0;74.7
КЦ 1;Группа 1;Operator_004;Месяц 4;8.5;69.2;80.6;89.0
КЦ 1;Группа 1;Operator_005;Месяц 4;8.5;63.8;77.6;73.6
КЦ 1;Группа 1;Operator_006;Месяц 4;11.8;62.7;75.6;78.4
КЦ 1;Группа 1;Operator_007;Месяц 4;8;78.6;83.8;74.2
КЦ 1;Группа 1;Operator_008;Месяц 4;9.4;59.7;75.2;97.5
КЦ 1;Группа 1;Operator_009;Месяц 4;13.9;66.5;77.7;95.5
КЦ 1;Группа 1;Operator_010;Месяц 4;11.1;67.6;77.3;72.7
КЦ 1;Группа 1;Operator_011;Месяц 4;12.4;73.5;83.1;71.7
КЦ 1;Группа 1;Operator_012;Месяц 4;8.3;63.5;79.2;74.7
КЦ 1;Группа 1;Operator_013;Месяц 4;7;56.4;79.0;67.1
КЦ 1;Группа 1;Operator_014;Месяц 4;9.5;67.4;80.4;91.2
КЦ 1;Группа 1;Operator_015;Месяц 4;6.7;57.4;80.9;86.7
КЦ 1;Группа 1;Operator_016;Месяц 4;9.6;63.7;85.0;99.9
КЦ 1;Группа 2;Operator_017;Месяц 4;7.4;50.2;83.2;75.5
КЦ 1;Группа 2;Operator_018;Месяц 4;6.7;77.2;83.5;68.2
КЦ 1;Группа 2;Operator_019;Месяц 4;9.6;66.4;83.3;85.4
КЦ 1;Группа 2;Operator_020;Месяц 4;10.5;68.6;76.5;97.5
КЦ 1;Группа 2;Operator_021;Месяц 4;7.4;53.2;83.7;95.1
КЦ 1;Группа 2;Operator_022;Месяц 4;14;62.0;84.8;83.8
КЦ 1;Группа 2;Operator_023;Месяц 4;10.1;67.3;77.5;89.8
КЦ 1;Группа 2;Operator_024;Месяц 4;10.3;59.0;78.1;79.3
КЦ 1;Группа 2;Operator_025;Месяц 4;14.4;67.4;81.5;81.3
КЦ 1;Группа 2;Operator_026;Месяц 4;8.9;56.7;77.0;65.9
КЦ 1;Группа 2;Operator_027;Месяц 4;10.2;73.1;76.1;79.9
КЦ 1;Группа 2;Operator_028;Месяц 4;11.8;68.4;82.2;82.7
КЦ 1;Группа 2;Operator_029;Месяц 4;8.5;58.6;77.7;76.2
КЦ 1;Группа 2;Operator_030;Месяц 4;13.2;70.9;83.6;91.8
КЦ 1;Группа 2;Operator_031;Месяц 4;11.8;50.9;78.4;88.8
КЦ 1;Группа 2;Operator_032;Месяц 4;13;61.4;77.1;76.4
КЦ 1;Группа 2;Operator_033;Месяц 4;10.1;72.6;84.5;72.0
